county,osm_id,name,category,subcategory,lat,lon,admin_division
dublin,w1455013492,,water,waterway=stream,53.3774746,-6.430778,
dublin,w1455013493,,water,natural=wetland,53.379123,-6.4295425,
dublin,w1455110284,,water,natural=water,53.359676,-6.4055414,
dublin,w1456200525,,water,waterway=stream,53.335594,-6.4694748,
dublin,w1456200526,,water,waterway=stream,53.3354951,-6.4692287,
dublin,w1456460701,,water,waterway=stream,53.3254112,-6.4713487,
dublin,w1456460702,,water,waterway=stream,53.325298,-6.4710376,
dublin,w1456460703,,water,waterway=stream,53.3254336,-6.4723599,
dublin,w1456460704,,water,waterway=stream,53.3253907,-6.470975,
dublin,w1456460705,,water,waterway=stream,53.3253974,-6.4738209,
dublin,w1456460708,,water,waterway=stream,53.3285865,-6.4677371,
dublin,w1456460709,,water,waterway=stream,53.3278844,-6.4680338,
dublin,w1457506502,,water,waterway=stream,53.4109185,-6.2253883,
dublin,w1457506503,,water,waterway=stream,53.412163,-6.2346706,
dublin,w1457506504,,water,waterway=stream,53.4114441,-6.2313339,
dublin,w1457506505,,water,waterway=stream,53.4114148,-6.2306162,
dublin,w1457506506,,water,waterway=stream,53.4113859,-6.2291875,
dublin,w1457506507,,water,waterway=stream,53.4113558,-6.2278211,
dublin,w1457506508,,water,waterway=stream,53.4104883,-6.2220839,
dublin,w1457596170,,water,waterway=stream,53.4103126,-6.2129585,
dublin,w1457596193,,water,natural=water,53.4212035,-6.1812909,
dublin,w1457901782,,water,natural=water,53.3931289,-6.23951,
dublin,w1458070297,,water,waterway=stream,53.3950183,-6.2366447,
dublin,w1458070298,,water,waterway=stream,53.3954343,-6.2353341,
dublin,w1458070301,,water,natural=water,53.3951208,-6.2367019,
dublin,w1458070302,,water,natural=water,53.395308,-6.2359204,
dublin,w1458070303,,water,waterway=stream,53.3956148,-6.235236,
dublin,w1458070306,,water,waterway=stream,53.3954809,-6.2344053,
dublin,w1458070307,,water,waterway=stream,53.3954303,-6.2345622,
dublin,w1458070308,,water,waterway=stream,53.3956084,-6.2342656,
dublin,w1458070309,,water,waterway=stream,53.3955152,-6.2351471,
dublin,w1458070310,,water,waterway=stream,53.3953823,-6.2356953,
dublin,w1458070323,,water,natural=water,53.413145,-6.4279711,
dublin,w1458111513,,water,waterway=stream,53.4093838,-6.4146258,
dublin,w1458130217,,water,natural=water,53.411656,-6.40174,
dublin,w1458130218,,water,natural=water,53.4121099,-6.4010919,
dublin,w1458130219,,water,natural=water,53.4123992,-6.4006461,
dublin,w1458177782,,water,natural=water,53.4163868,-6.1410946,
dublin,w1458177786,,water,waterway=stream,53.4169052,-6.1412702,
dublin,w1458177787,,water,waterway=stream,53.4170916,-6.1413216,
dublin,w1458177788,,water,natural=water,53.4094578,-6.1396872,
dublin,w1458177797,,water,natural=water,53.417781,-6.1442094,
dublin,w1458191253,,water,natural=water,53.4399418,-6.138362,
dublin,w1458307455,,water,natural=water,53.4263271,-6.3789345,
dublin,w1458481258,,water,natural=water,53.4285312,-6.3847368,
