approval_number,establishment_name,address,county,country,source
2582,Walsh Butchers,"Cashel, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2420,Walsh Butchers,"Ballintra, Donegal",Donegal,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2857,Wexford Casings LTD,"Gorey, Wexford",Wexford,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
3052,Whelan Food & Meat Processors,"Fethard, Tipperary",Tipperary,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2357,Whelans of Dublin Pudding Manufacturers Ltd,"Bluebell, Dublin",Dublin,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2430,William Browne,"Ferbane, Offaly",Offaly,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2898,William Gray T/A Feighcullen Farm,"Rathangan, Kildare",Kildare,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2461,William Walsh (Walsh's Victuallers),"Skibbereen, Cork",Cork,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2355,Woodlawn Meats LTD,"Enniscorthy, Wexford",Wexford,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
2616,Wynnes Meats,"Drumfin, Sligo",Sligo,Ireland,dafm:AllApprovedPlants_2025_Formerly_LA_Plants.xlsx
4114,Namo Production Kitchen,"Castle Blunden, Stable Block, Kilkenny R95 X0HN",Kilkenny,Ireland,oapi_hse
4121,Cavan Country Produce,"Unit 4 Cootehill Enterprise Park, Cootehill",Cavan,Ireland,oapi_hse
4113,Sullivan Centre Kitchen,"Cathedral Road, Cavan",Cavan,Ireland,oapi_hse
4074,St Davnets Hospital Centralised Kitchen,"HSE, Rooskey, Monaghan",Monaghan,Ireland,oapi_hse
4025,Stillorgan Trading Post Limited,"Swift Fine Foods, Lough Egish Food Park,, Loughmourne, Castleblayney",Monaghan,Ireland,oapi_hse
4038,EFG In-Flight Limited,"Knockbeg Point, Shannon Airport, Shannon",Clare,Ireland,oapi_hse
4112,KP Gallen Foods Limited,"Unit 2 & 3 Thorn Road, Letterkenny",Donegal,Ireland,oapi_hse
4067,Itsa Bagel Limited T/A Itsa,"56A Blackthorn Road, Sandyford Industrial Estate, Dublin 18",Dublin,Ireland,oapi_hse
4096,Lotts & Co,"47A Marlborough Road, Donnybrook, Dublin 4",Dublin,Ireland,oapi_hse
4043,Outlaws Western Restaurant Limited T/A Soup Cafe,"Units 3 & 4, 78 Furze Road, Sandyford Industrial Estate",Dublin,Ireland,oapi_hse
4008,Ballymaguire Foods Limited,"Rathmooney, Lusk, Dublin",Dublin,Ireland,oapi_hse
4057,Boojum Ltd,"Unit 26B North City Business Park, North Road, Finglas, Dublin 11",Dublin,Ireland,oapi_hse
4075,Dnata Catering Ireland Limited,"Units 5 and 6 Dublin Airport Logistics Park, St Margarets Road, Finglas",Dublin,Ireland,oapi_hse
4107,Market Street Food Halls Limited,"Unit 7G Swords Business Park, Swords, K67X042",Dublin,Ireland,oapi_hse
4085,CPK Compass Group,"Unit A8 Kingswood, Kingswood Business Park, Baldonnell",Dublin,Ireland,oapi_hse
4035,Morehampton Foods Limited,"Unit E20 Cloverhill Industrial Estate, Cloverhill Road, Clondalkin",Dublin,Ireland,oapi_hse
4087,Parkwest Kitchen,"A3 Canal Bank, Hume Avenue,, Parkwest Industrial Estate, Dublin 12",Dublin,Ireland,oapi_hse
4111,Pieman,"Ace Enterprise Park, Unit 22 Bawnogue Road, Clondalkin, D22TX92, Dublin 22",Dublin,Ireland,oapi_hse
4115,Spice Village Indian Cuisine,"Unit 4C, Station Road Business Park, Crag Avenue, Clondalkin",Dublin,Ireland,oapi_hse
4094,Boxty House Limited,"Unit 3, Hibernian Industrial Estate, Greenhills Road, Dublin 12",Dublin,Ireland,oapi_hse
4030,Brambles Café Deli Ltd.,"Unit 4C, South City Business Park, Tallaght",Dublin,Ireland,oapi_hse
4053,Emaan Meal Solutions Irl Limited,"Unit 1 -3, Cookstown Industrial Estate, Tallaght, Dublin 24",Dublin,Ireland,oapi_hse
4036,Nosebag Fine Foods Limited,"Unit 23, Oak Road Business Park, Oak Road",Dublin,Ireland,oapi_hse
4049,KC Peaches Ireland Limited,"Unit 10 Trinity Enterprise Centre, Pearse Street, Dublin 2",Dublin,Ireland,oapi_hse
4108,Oishii Foods Limited,"Unit 17 Naas Road Business Park, Muirfield Drive, Naas Road",Dublin,Ireland,oapi_hse
