alert_id,date,title,category,country_origin,hazard_type,approval_numbers,product_name,source_url
2022.37,2022-06-09,Recall of a Batch of Get Fresh at Home Petits Pains Due to Possible Metal Contamination,,Netherlands,foreign body,,Get Fresh at Home Petits Pains (6 White Part Baked Rolls); pack size: 300g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-get-fresh-at-home-petits-pain
2025.52,2025-10-01,Recall of a batch of Giant Tree Salted Bean Curd Cubes in Brine with Chili due to the presence of Bacillus cereus,For Action,China,Nature Of Danger: Bacillus cereus is a type of bacteria which can be found in th,,Salted Bean Curd Cubes in Brine with Chili (with Sesame Oil); pack size: 300g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-giant-tree-salted-bean-curd-c
2025.45,2025-08-27,Recall of a batch of Gillot cru Petit Camembert due to possible presence of Shiga toxin-producing E. coli (STEC),For Action,France,Nature Of Danger:,,Gillot cru Petit Camembert; pack size: 150g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-gillot-cru-petit-camembert
2022.63,2022-10-03,Recall of a Batch of Glenhaven 4 Breaded Chicken Fillets due to the Presence of Salmonella,For Action,Ireland,Nature Of Danger:,,Come Home to Glenhaven 4 Breaded Chicken Fillets (frozen); pack size: 380g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-glenhaven-4-breaded-chicken-f
2024.55,2024-11-19,Recall of a batch of Glensallagh Salt & Chilli Roast Chicken Wings due to the presence of Listeria monocytogenes,For Action,Ireland,Nature Of Danger:,575,Glensallagh Salt & Chilli Roast Chicken Wings; pack size: 350g; approval number: IE 575 EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-glensallagh-salt-chilli-roast
2022.33,2022-05-25,Recall of a Batch of Golden Lily Dried Apricot Seeds Due to High Levels of Hydrocyanic Acid (Cyanide),,Hong Kong,Recall of a Batch of Golden Lily Dried Apricot Seeds Due to High Levels of Hydro,,Golden Lily Dried Apricot Seed; pack size: 100 g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-golden-lily-dried-apricot-see
2022.67,2022-11-11,Recall of a Batch of Golden Lily Dried Kelp Seaweed Due to an Elevated Level of Iodine,,China,Recall of a Batch of Golden Lily Dried Kelp Seaweed Due to an Elevated Level of ,,Golden Lily Dried Kelp Seaweed; pack size: 100g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-golden-lily-dried-kelp-seawee
2024.44,2024-09-26,Recall of a batch of Mlekpol Zloty Mazur Cheese In Slices due to the possible presence of Salmonella Newport,For Action,Poland,Nature Of Danger:,,"Mlekpol Zloty Mazur Cheese In Slices, pack size: 150g; approval number PL 20041601WE",https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-golden-mazure-cheese
2026.17,2026-04-30,Recall of a batch of GoodLife Spicy Bean Burger due to the possible presence of plastic pieces,For Action,,Recall of a batch of GoodLife Spicy Bean Burger due to the possible presence of ,,GoodLife Spicy Bean Burger; pack size: 454 g,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-goodlife-spicy-bean-burger-du
2023.08,2023-04-13,Recall of a batch of Guastalla Green and Black Pitted Olives due to the presence of Listeria monocytogenes,For Action,Ireland,Nature Of Danger:,4071,Guastalla Green and Black Pitted Olives; pack size: 100g; approval number: IE 4071 EC,https://www.fsai.ie/news-and-alerts/food-alerts/recall-of-a-batch-of-guastalla-green-and-black-pit
